FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Payload,Core,Block,ReusedCount,Serial,Longitude,Latitude,GridFins,Reused,Legs,LandingPad,LandingOutcome,Flights
66,2019-06-12,Falcon 9,1425.0,SSO,VAFB SLC 4E,5eb0e4ccb6c3bb0006eeb239,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}",5.0,12,B1051,-120.610829,34.632093,True,True,True,5e9e3032383ecb554034e7c9,True RTLS,2
67,2019-07-25,Falcon 9,2227.7,ISS,CCSFS SLC 40,5eb0e4ceb6c3bb0006eeb24a,"{'core': '5e9e28a7f3591809313b2660', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",5.0,3,B1056,-80.577366,28.5618571,True,True,True,5e9e3032383ecb267a34e7c7,True RTLS,2
68,2019-08-06,Falcon 9,6500.0,GTO,CCSFS SLC 40,5eb0e4cfb6c3bb0006eeb24b,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 3, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",5.0,2,B1047,-80.577366,28.5618571,False,True,False,,None None,3
69,2019-11-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5eb0e4cfb6c3bb0006eeb24c,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,4,B1048,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,4
70,2019-12-05,Falcon 9,5000.0,ISS,CCSFS SLC 40,5eb0e4cfb6c3bb0006eeb24d,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,5,B1059,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
71,2019-12-17,Falcon 9,6800.0,GTO,CCSFS SLC 40,5eb0e4cfb6c3bb0006eeb24e,"{'core': '5e9e28a7f3591809313b2660', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,3,B1056,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,3
72,2020-01-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5eb0e4cfb6c3bb0006eeb24f,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,9,B1049,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,4
73,2020-01-19,Falcon 9,6123.547647058824,SO,KSC LC 39A,5eb0e4d0b6c3bb0006eeb250,"{'core': '5e9e28a5f359182b023b2656', 'flight': 4, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",5.0,3,B1046,-80.6039558,28.6080585,False,True,False,,None None,4
74,2020-01-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5eb0e4d0b6c3bb0006eeb251,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,12,B1051,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,3
75,2020-02-17,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5eb0e4d0b6c3bb0006eeb252,"{'core': '5e9e28a7f3591809313b2660', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,3,B1056,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,False ASDS,4
76,2020-03-07,Falcon 9,1977.0,ISS,CCSFS SLC 40,5eb0e4d0b6c3bb0006eeb253,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",5.0,5,B1059,-80.577366,28.5618571,True,True,True,5e9e3032383ecb267a34e7c7,True RTLS,2
77,2020-03-18,Falcon 9,15600.0,VLEO,KSC LC 39A,5eb0e4d0b6c3bb0006eeb254,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 5, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,4,B1048,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,False ASDS,5
78,2020-04-22,Falcon 9,15600.0,VLEO,KSC LC 39A,5eb0e4d1b6c3bb0006eeb255,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,12,B1051,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,4
79,2020-05-30,Falcon 9,9525.0,ISS,KSC LC 39A,5eb0e4d1b6c3bb0006eeb257,"{'core': '5e9e28a7f3591817f23b2663', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,13,B1058,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
80,2020-06-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5eb0e4d1b6c3bb0006eeb256,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 5, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,9,B1049,-80.577366,28.5618571,True,True,True,5e9e3033383ecbb9e534e7cc,True ASDS,5
81,2020-06-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5eb0e4d1b6c3bb0006eeb258,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,5,B1059,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,3
82,2020-06-30,Falcon 9,3880.0,MEO,CCSFS SLC 40,5eb0e4d2b6c3bb0006eeb25c,"{'core': '5ef670f10059c33cee4a826c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,12,B1060,-80.577366,28.5618571,True,False,True,5e9e3033383ecbb9e534e7cc,True ASDS,1
83,2020-07-20,Falcon 9,6123.547647058824,GEO,CCSFS SLC 40,5eb0e4d2b6c3bb0006eeb25b,"{'core': '5e9e28a7f3591817f23b2663', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,13,B1058,-80.577366,28.5618571,True,True,True,5e9e3033383ecbb9e534e7cc,True ASDS,2
84,2020-08-18,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5ed9859f1f30554030d45c3f,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 6, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,9,B1049,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,6
85,2020-08-30,Falcon 9,1600.0,SSO,CCSFS SLC 40,5eb0e4d1b6c3bb0006eeb259,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",5.0,5,B1059,-80.577366,28.5618571,True,True,True,5e9e3032383ecb267a34e7c7,True RTLS,4
86,2020-09-03,Falcon 9,15600.0,VLEO,KSC LC 39A,5ef6a4600059c33cee4a829e,"{'core': '5ef670f10059c33cee4a826c', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,12,B1060,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,2
87,2020-10-06,Falcon 9,15600.0,VLEO,KSC LC 39A,5ef6a48e0059c33cee4a829f,"{'core': '5e9e28a7f3591817f23b2663', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,13,B1058,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,3
88,2020-10-18,Falcon 9,15600.0,VLEO,KSC LC 39A,5ef6a4d50059c33cee4a82a1,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 6, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,12,B1051,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,6
89,2020-10-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,5ef6a4ea0059c33cee4a82a2,"{'core': '5ef670f10059c33cee4a826c', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,12,B1060,-80.577366,28.5618571,True,True,True,5e9e3033383ecbb9e534e7cc,True ASDS,3
90,2020-11-05,Falcon 9,3681.0,MEO,CCSFS SLC 40,5eb0e4d2b6c3bb0006eeb25e,"{'core': '5f57c5440622a633027900a0', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,8,B1062,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
